window_index,start_ms,end_ms,samples,successes,failures,error_rate_pct,throughput_rps,success_avg_ms,success_min_ms,success_p95_ms,success_max_ms,failed_avg_ms,failed_min_ms,failed_p95_ms,failed_max_ms,all_avg_ms
107,1776952167800,1776952177800,382,382,0,0.00,38.20,413.64,33,964,2436,0.00,0,0,0,413.64
108,1776952177800,1776952187800,331,331,0,0.00,33.10,449.89,41,1119,2358,0.00,0,0,0,449.89
109,1776952187800,1776952197800,316,316,0,0.00,31.60,491.83,24,1080,1661,0.00,0,0,0,491.83
110,1776952197800,1776952207800,413,413,0,0.00,41.30,396.46,32,898,1551,0.00,0,0,0,396.46
111,1776952207800,1776952217800,191,191,0,0.00,19.10,827.16,59,1788,3693,0.00,0,0,0,827.16
112,1776952217800,1776952227800,161,161,0,0.00,16.10,955.20,152,2469,7570,0.00,0,0,0,955.20
113,1776952227800,1776952237800,188,188,0,0.00,18.80,704.98,46,2346,3950,0.00,0,0,0,704.98
114,1776952237800,1776952247800,350,350,0,0.00,35.00,442.47,28,959,2237,0.00,0,0,0,442.47
115,1776952247800,1776952257800,276,276,0,0.00,27.60,593.24,62,1323,1928,0.00,0,0,0,593.24
116,1776952257800,1776952267800,400,400,0,0.00,40.00,401.36,35,941,1625,0.00,0,0,0,401.36
117,1776952267800,1776952277800,355,355,0,0.00,35.50,463.07,32,997,2073,0.00,0,0,0,463.07
118,1776952277800,1776952287800,399,399,0,0.00,39.90,384.24,36,831,2670,0.00,0,0,0,384.24
119,1776952287800,1776952297800,324,324,0,0.00,32.40,480.63,9,1081,1957,0.00,0,0,0,480.63
120,1776952297800,1776952307800,176,176,0,0.00,17.60,934.57,68,2277,4315,0.00,0,0,0,934.57
121,1776952307800,1776952317800,357,357,0,0.00,35.70,431.93,47,1243,2370,0.00,0,0,0,431.93
122,1776952317800,1776952327800,314,314,0,0.00,31.40,510.39,71,1085,2173,0.00,0,0,0,510.39
123,1776952327800,1776952337800,403,403,0,0.00,40.30,397.37,68,787,1986,0.00,0,0,0,397.37
124,1776952337800,1776952347800,19,19,0,0.00,1.90,218.47,49,449,449,0.00,0,0,0,218.47
125,1776952347800,1776952357800,118,118,0,0.00,11.80,803.42,63,2556,4786,0.00,0,0,0,803.42
126,1776952357800,1776952367800,156,156,0,0.00,15.60,948.90,80,2744,3579,0.00,0,0,0,948.90
127,1776952367800,1776952377800,227,227,0,0.00,22.70,728.22,42,2430,4523,0.00,0,0,0,728.22
128,1776952377800,1776952387800,282,282,0,0.00,28.20,480.18,86,1099,2528,0.00,0,0,0,480.18
129,1776952387800,1776952397800,378,378,0,0.00,37.80,425.22,44,896,1590,0.00,0,0,0,425.22
130,1776952397800,1776952407800,325,325,0,0.00,32.50,455.68,40,1130,3171,0.00,0,0,0,455.68
131,1776952407800,1776952417800,178,178,0,0.00,17.80,873.74,67,2223,4600,0.00,0,0,0,873.74
132,1776952417800,1776952427800,161,161,0,0.00,16.10,981.50,69,3267,6648,0.00,0,0,0,981.50
133,1776952427800,1776952437800,234,234,0,0.00,23.40,602.16,78,1685,3797,0.00,0,0,0,602.16
134,1776952437800,1776952447800,351,351,0,0.00,35.10,448.19,36,980,1642,0.00,0,0,0,448.19
135,1776952447800,1776952457800,348,348,0,0.00,34.80,461.96,56,1034,1688,0.00,0,0,0,461.96
136,1776952457800,1776952467800,286,286,0,0.00,28.60,569.93,31,1355,5881,0.00,0,0,0,569.93
137,1776952467800,1776952477800,330,330,0,0.00,33.00,431.33,35,1005,2488,0.00,0,0,0,431.33
138,1776952477800,1776952487800,238,238,0,0.00,23.80,718.72,39,2456,4509,0.00,0,0,0,718.72
139,1776952487800,1776952497800,302,302,0,0.00,30.20,499.31,28,1191,5063,0.00,0,0,0,499.31
140,1776952497800,1776952507800,113,113,0,0.00,11.30,1247.99,110,3871,6945,0.00,0,0,0,1247.99
141,1776952507800,1776952517800,189,189,0,0.00,18.90,723.93,45,2322,8860,0.00,0,0,0,723.93
142,1776952517800,1776952527800,141,141,0,0.00,14.10,1116.26,96,2954,9152,0.00,0,0,0,1116.26
143,1776952527800,1776952537800,105,105,0,0.00,10.50,1491.30,195,4530,7085,0.00,0,0,0,1491.30
144,1776952537800,1776952547800,91,91,0,0.00,9.10,1410.58,351,3348,8070,0.00,0,0,0,1410.58
145,1776952547800,1776952557800,191,191,0,0.00,19.10,759.15,26,1908,3284,0.00,0,0,0,759.15
146,1776952557800,1776952567800,185,185,0,0.00,18.50,838.50,216,1794,3608,0.00,0,0,0,838.50
147,1776952567800,1776952577800,127,127,0,0.00,12.70,1241.97,187,2900,5429,0.00,0,0,0,1241.97
148,1776952577800,1776952587800,111,111,0,0.00,11.10,1375.22,220,3207,4414,0.00,0,0,0,1375.22
149,1776952587800,1776952597800,95,95,0,0.00,9.50,1552.98,310,3906,5505,0.00,0,0,0,1552.98
150,1776952597800,1776952607800,213,213,0,0.00,21.30,713.87,33,2034,3605,0.00,0,0,0,713.87
151,1776952607800,1776952617800,144,144,0,0.00,14.40,1088.96,97,2767,4979,0.00,0,0,0,1088.96
152,1776952617800,1776952627800,117,117,0,0.00,11.70,1198.03,305,3355,6050,0.00,0,0,0,1198.03
153,1776952627800,1776952637800,106,106,0,0.00,10.60,1508.68,200,4206,8649,0.00,0,0,0,1508.68
154,1776952637800,1776952647800,108,108,0,0.00,10.80,1091.19,259,3017,5278,0.00,0,0,0,1091.19
155,1776952647800,1776952657800,40,40,0,0.00,4.00,1327.53,411,2164,4396,0.00,0,0,0,1327.53
